sample_id,signer_id,symbol,symbol_type,handedness,repetition,hold_start_frame,hold_end_frame,landmark_path,source_video,split
VSL_ALPHA_S01_C_REP04,S01,C,letter,Right,4,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_C_REP04.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_C_REP04.mp4,train
VSL_ALPHA_S01_C_REP05,S01,C,letter,Right,5,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_C_REP05.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_C_REP05.mp4,train
VSL_ALPHA_S01_D_REP01,S01,D,letter,Right,1,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_D_REP01.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_D_REP01.mp4,train
VSL_ALPHA_S01_D_REP02,S01,D,letter,Right,2,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_D_REP02.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_D_REP02.mp4,train
VSL_ALPHA_S01_D_REP03,S01,D,letter,Right,3,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_D_REP03.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_D_REP03.mp4,train
VSL_ALPHA_S01_D_REP04,S01,D,letter,Right,4,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_D_REP04.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_D_REP04.mp4,train
VSL_ALPHA_S01_D_REP05,S01,D,letter,Right,5,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_D_REP05.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_D_REP05.mp4,train
VSL_ALPHA_S01_Đ_REP01,S01,Đ,letter,Right,1,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_Đ_REP01.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_Đ_REP01.mp4,train
VSL_ALPHA_S01_Đ_REP02,S01,Đ,letter,Right,2,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_Đ_REP02.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_Đ_REP02.mp4,train
VSL_ALPHA_S01_Đ_REP03,S01,Đ,letter,Right,3,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_Đ_REP03.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_Đ_REP03.mp4,train
VSL_ALPHA_S01_Đ_REP04,S01,Đ,letter,Right,4,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_Đ_REP04.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_Đ_REP04.mp4,train
VSL_ALPHA_S01_Đ_REP05,S01,Đ,letter,Right,5,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_Đ_REP05.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_Đ_REP05.mp4,train
VSL_ALPHA_S01_E_REP01,S01,E,letter,Right,1,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_E_REP01.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_E_REP01.mp4,train
VSL_ALPHA_S01_E_REP02,S01,E,letter,Right,2,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_E_REP02.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_E_REP02.mp4,train
VSL_ALPHA_S01_E_REP03,S01,E,letter,Right,3,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_E_REP03.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_E_REP03.mp4,train
VSL_ALPHA_S01_E_REP04,S01,E,letter,Right,4,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_E_REP04.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_E_REP04.mp4,train
VSL_ALPHA_S01_E_REP05,S01,E,letter,Right,5,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_E_REP05.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_E_REP05.mp4,train
VSL_ALPHA_S01_G_REP01,S01,G,letter,Right,1,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_G_REP01.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_G_REP01.mp4,train
VSL_ALPHA_S01_G_REP02,S01,G,letter,Right,2,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_G_REP02.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_G_REP02.mp4,train
VSL_ALPHA_S01_G_REP03,S01,G,letter,Right,3,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_G_REP03.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_G_REP03.mp4,train
VSL_ALPHA_S01_G_REP04,S01,G,letter,Right,4,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_G_REP04.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_G_REP04.mp4,train
VSL_ALPHA_S01_G_REP05,S01,G,letter,Right,5,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_G_REP05.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_G_REP05.mp4,train
VSL_ALPHA_S01_H_REP01,S01,H,letter,Right,1,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_H_REP01.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_H_REP01.mp4,train
VSL_ALPHA_S01_H_REP02,S01,H,letter,Right,2,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_H_REP02.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_H_REP02.mp4,train
VSL_ALPHA_S01_H_REP03,S01,H,letter,Right,3,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_H_REP03.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_H_REP03.mp4,train
VSL_ALPHA_S01_H_REP04,S01,H,letter,Right,4,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_H_REP04.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_H_REP04.mp4,train
VSL_ALPHA_S01_H_REP05,S01,H,letter,Right,5,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_H_REP05.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_H_REP05.mp4,train
VSL_ALPHA_S01_I_REP01,S01,I,letter,Right,1,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_I_REP01.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_I_REP01.mp4,train
VSL_ALPHA_S01_I_REP02,S01,I,letter,Right,2,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_I_REP02.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_I_REP02.mp4,train
VSL_ALPHA_S01_I_REP03,S01,I,letter,Right,3,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_I_REP03.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_I_REP03.mp4,train
VSL_ALPHA_S01_I_REP04,S01,I,letter,Right,4,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_I_REP04.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_I_REP04.mp4,train
VSL_ALPHA_S01_I_REP05,S01,I,letter,Right,5,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_I_REP05.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_I_REP05.mp4,train
VSL_ALPHA_S01_K_REP01,S01,K,letter,Right,1,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_K_REP01.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_K_REP01.mp4,train
VSL_ALPHA_S01_K_REP02,S01,K,letter,Right,2,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_K_REP02.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_K_REP02.mp4,train
VSL_ALPHA_S01_K_REP03,S01,K,letter,Right,3,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_K_REP03.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_K_REP03.mp4,train
VSL_ALPHA_S01_K_REP04,S01,K,letter,Right,4,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_K_REP04.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_K_REP04.mp4,train
VSL_ALPHA_S01_K_REP05,S01,K,letter,Right,5,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_K_REP05.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_K_REP05.mp4,train
VSL_ALPHA_S01_L_REP01,S01,L,letter,Right,1,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_L_REP01.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_L_REP01.mp4,train
VSL_ALPHA_S01_L_REP02,S01,L,letter,Right,2,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_L_REP02.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_L_REP02.mp4,train
VSL_ALPHA_S01_L_REP03,S01,L,letter,Right,3,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_L_REP03.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_L_REP03.mp4,train
VSL_ALPHA_S01_L_REP04,S01,L,letter,Right,4,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_L_REP04.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_L_REP04.mp4,train
VSL_ALPHA_S01_L_REP05,S01,L,letter,Right,5,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_L_REP05.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_L_REP05.mp4,train
VSL_ALPHA_S01_M_REP01,S01,M,letter,Right,1,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_M_REP01.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_M_REP01.mp4,train
VSL_ALPHA_S01_M_REP02,S01,M,letter,Right,2,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_M_REP02.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_M_REP02.mp4,train
VSL_ALPHA_S01_M_REP03,S01,M,letter,Right,3,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_M_REP03.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_M_REP03.mp4,train
VSL_ALPHA_S01_M_REP04,S01,M,letter,Right,4,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_M_REP04.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_M_REP04.mp4,train
VSL_ALPHA_S01_M_REP05,S01,M,letter,Right,5,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_M_REP05.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_M_REP05.mp4,train
VSL_ALPHA_S01_N_REP01,S01,N,letter,Right,1,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_N_REP01.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_N_REP01.mp4,train
VSL_ALPHA_S01_N_REP02,S01,N,letter,Right,2,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_N_REP02.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_N_REP02.mp4,train
VSL_ALPHA_S01_N_REP03,S01,N,letter,Right,3,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_N_REP03.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_N_REP03.mp4,train
VSL_ALPHA_S01_N_REP04,S01,N,letter,Right,4,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_N_REP04.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_N_REP04.mp4,train
VSL_ALPHA_S01_N_REP05,S01,N,letter,Right,5,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_N_REP05.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_N_REP05.mp4,train
VSL_ALPHA_S01_O_REP01,S01,O,letter,Right,1,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_O_REP01.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_O_REP01.mp4,train
VSL_ALPHA_S01_O_REP02,S01,O,letter,Right,2,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_O_REP02.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_O_REP02.mp4,train
VSL_ALPHA_S01_O_REP03,S01,O,letter,Right,3,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_O_REP03.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_O_REP03.mp4,train
VSL_ALPHA_S01_O_REP04,S01,O,letter,Right,4,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_O_REP04.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_O_REP04.mp4,train
VSL_ALPHA_S01_O_REP05,S01,O,letter,Right,5,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_O_REP05.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_O_REP05.mp4,train
VSL_ALPHA_S01_P_REP01,S01,P,letter,Right,1,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_P_REP01.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_P_REP01.mp4,train
VSL_ALPHA_S01_P_REP02,S01,P,letter,Right,2,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_P_REP02.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_P_REP02.mp4,train
VSL_ALPHA_S01_P_REP03,S01,P,letter,Right,3,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_P_REP03.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_P_REP03.mp4,train
VSL_ALPHA_S01_P_REP04,S01,P,letter,Right,4,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_P_REP04.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_P_REP04.mp4,train
VSL_ALPHA_S01_P_REP05,S01,P,letter,Right,5,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_P_REP05.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_P_REP05.mp4,train
VSL_ALPHA_S01_Q_REP01,S01,Q,letter,Right,1,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_Q_REP01.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_Q_REP01.mp4,train
VSL_ALPHA_S01_Q_REP02,S01,Q,letter,Right,2,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_Q_REP02.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_Q_REP02.mp4,train
VSL_ALPHA_S01_Q_REP03,S01,Q,letter,Right,3,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_Q_REP03.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_Q_REP03.mp4,train
VSL_ALPHA_S01_Q_REP04,S01,Q,letter,Right,4,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_Q_REP04.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_Q_REP04.mp4,train
VSL_ALPHA_S01_Q_REP05,S01,Q,letter,Right,5,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_Q_REP05.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_Q_REP05.mp4,train
VSL_ALPHA_S01_R_REP01,S01,R,letter,Right,1,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_R_REP01.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_R_REP01.mp4,train
VSL_ALPHA_S01_R_REP02,S01,R,letter,Right,2,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_R_REP02.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_R_REP02.mp4,train
VSL_ALPHA_S01_R_REP03,S01,R,letter,Right,3,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_R_REP03.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_R_REP03.mp4,train
VSL_ALPHA_S01_R_REP04,S01,R,letter,Right,4,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_R_REP04.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_R_REP04.mp4,train
VSL_ALPHA_S01_R_REP05,S01,R,letter,Right,5,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_R_REP05.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_R_REP05.mp4,train
VSL_ALPHA_S01_S_REP01,S01,S,letter,Right,1,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_S_REP01.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_S_REP01.mp4,train
VSL_ALPHA_S01_S_REP02,S01,S,letter,Right,2,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_S_REP02.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_S_REP02.mp4,train
VSL_ALPHA_S01_S_REP03,S01,S,letter,Right,3,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_S_REP03.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_S_REP03.mp4,train
VSL_ALPHA_S01_S_REP04,S01,S,letter,Right,4,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_S_REP04.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_S_REP04.mp4,train
VSL_ALPHA_S01_S_REP05,S01,S,letter,Right,5,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_S_REP05.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_S_REP05.mp4,train
VSL_ALPHA_S01_T_REP01,S01,T,letter,Right,1,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_T_REP01.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_T_REP01.mp4,train
VSL_ALPHA_S01_T_REP02,S01,T,letter,Right,2,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_T_REP02.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_T_REP02.mp4,train
VSL_ALPHA_S01_T_REP03,S01,T,letter,Right,3,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_T_REP03.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_T_REP03.mp4,train
VSL_ALPHA_S01_T_REP04,S01,T,letter,Right,4,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_T_REP04.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_T_REP04.mp4,train
VSL_ALPHA_S01_T_REP05,S01,T,letter,Right,5,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_T_REP05.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_T_REP05.mp4,train
VSL_ALPHA_S01_U_REP01,S01,U,letter,Right,1,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_U_REP01.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_U_REP01.mp4,train
VSL_ALPHA_S01_U_REP02,S01,U,letter,Right,2,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_U_REP02.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_U_REP02.mp4,train
VSL_ALPHA_S01_U_REP03,S01,U,letter,Right,3,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_U_REP03.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_U_REP03.mp4,train
VSL_ALPHA_S01_U_REP04,S01,U,letter,Right,4,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_U_REP04.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_U_REP04.mp4,train
VSL_ALPHA_S01_U_REP05,S01,U,letter,Right,5,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_U_REP05.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_U_REP05.mp4,train
VSL_ALPHA_S01_V_REP01,S01,V,letter,Right,1,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_V_REP01.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_V_REP01.mp4,train
VSL_ALPHA_S01_V_REP02,S01,V,letter,Right,2,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_V_REP02.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_V_REP02.mp4,train
VSL_ALPHA_S01_V_REP03,S01,V,letter,Right,3,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_V_REP03.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_V_REP03.mp4,train
VSL_ALPHA_S01_V_REP04,S01,V,letter,Right,4,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_V_REP04.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_V_REP04.mp4,train
VSL_ALPHA_S01_V_REP05,S01,V,letter,Right,5,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_V_REP05.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_V_REP05.mp4,train
VSL_ALPHA_S01_X_REP01,S01,X,letter,Right,1,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_X_REP01.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_X_REP01.mp4,train
VSL_ALPHA_S01_X_REP02,S01,X,letter,Right,2,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_X_REP02.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_X_REP02.mp4,train
VSL_ALPHA_S01_X_REP03,S01,X,letter,Right,3,30,90,data/vsl_alphabet_pilot/landmarks/S01/VSL_ALPHA_S01_X_REP03.npz,data/vsl_alphabet_pilot/videos/S01/VSL_ALPHA_S01_X_REP03.mp4,train
