video_id,file_name,source,gloss_raw,gloss_normalized,dialect,signer_id,recording_group,width,height,npz_path,split
qipedc_D0053N,D0053N.mp4,qipedc,tuần lễ người Điếc thế giới,tuần lễ người điếc thế giới,N,,RG03183,1280,720,qipedc_kps/D0053N.npz,train
qipedc_D0054B,D0054B.mp4,qipedc,ngày của Mẹ,ngày của mẹ,B,,RG02177,1280,720,qipedc_kps/D0054B.npz,train
qipedc_D0054T,D0054T.mp4,qipedc,ngày của Mẹ,ngày của mẹ,T,,RG02177,1280,720,qipedc_kps/D0054T.npz,train
qipedc_D0055N,D0055N.mp4,qipedc,ngày của Cha,ngày của cha,N,,RG02176,1280,720,qipedc_kps/D0055N.npz,train
qipedc_D0056B,D0056B.mp4,qipedc,ngày gia đình Việt Nam 28/6,ngày gia đình việt nam 28/6,B,,RG02179,1280,720,qipedc_kps/D0056B.npz,train
qipedc_D0057N,D0057N.mp4,qipedc,ngày thầy thuốc Việt Nam,ngày thầy thuốc việt nam,N,,RG02201,1280,720,qipedc_kps/D0057N.npz,train
qipedc_D0057T,D0057T.mp4,qipedc,ngày thầy thuốc Việt Nam,ngày thầy thuốc việt nam,T,,RG02201,1280,720,qipedc_kps/D0057T.npz,train
qipedc_D0058B,D0058B.mp4,qipedc,ngày thành lập quân đội nhân dân Việt Nam,ngày thành lập quân đội nhân dân việt nam,B,,RG02193,1280,720,qipedc_kps/D0058B.npz,train
qipedc_D0058T,D0058T.mp4,qipedc,ngày thành lập quân đội nhân dân Việt Nam,ngày thành lập quân đội nhân dân việt nam,T,,RG02193,1280,720,qipedc_kps/D0058T.npz,train
qipedc_D0060N,D0060N.mp4,qipedc,nhầm,nhầm,N,,RG02321,1280,720,qipedc_kps/D0060N.npz,train
qipedc_D0060T,D0060T.mp4,qipedc,nhầm,nhầm,T,,RG02321,1280,720,qipedc_kps/D0060T.npz,train
qipedc_D0065N,D0065N.mp4,qipedc,mách,mách,N,,RG01956,1280,720,qipedc_kps/D0065N.npz,train
qipedc_D0065T,D0065T.mp4,qipedc,mách,mách,T,,RG01956,1280,720,qipedc_kps/D0065T.npz,train
qipedc_D0066B,D0066B.mp4,qipedc,vô duyên,vô duyên,B,,RG03400,1280,720,qipedc_kps/D0066B.npz,train
qipedc_D0072N,D0072N.mp4,qipedc,suýt,suýt,N,,RG02737,1280,720,qipedc_kps/D0072N.npz,train
qipedc_D0072T,D0072T.mp4,qipedc,suýt,suýt,T,,RG02737,1280,720,qipedc_kps/D0072T.npz,train
qipedc_D0077N,D0077N.mp4,qipedc,bít tết (bò),bít tết (bò),N,,RG00323,1280,720,qipedc_kps/D0077N.npz,train
qipedc_D0077T,D0077T.mp4,qipedc,bít tết (bò),bít tết (bò),T,,RG00323,1280,720,qipedc_kps/D0077T.npz,train
qipedc_D0080N,D0080N.mp4,qipedc,mỳ tôm,mỳ tôm,N,,RG02104,1280,720,qipedc_kps/D0080N.npz,train
qipedc_D0080T,D0080T.mp4,qipedc,mỳ tôm,mỳ tôm,T,,RG02104,1280,720,qipedc_kps/D0080T.npz,train
qipedc_D0082N,D0082N.mp4,qipedc,mỳ ý,mỳ ý,N,,RG02107,1280,720,qipedc_kps/D0082N.npz,train
qipedc_D0082T,D0082T.mp4,qipedc,mỳ ý,mỳ ý,T,,RG02107,1280,720,qipedc_kps/D0082T.npz,train
qipedc_D0103B,D0103B.mp4,qipedc,từ chối,từ chối,B,,RG03321,1280,720,qipedc_kps/D0103B.npz,train
qipedc_D0108B,D0108B.mp4,qipedc,thiệp sinh nhật,thiệp sinh nhật,B,,RG02869,1280,720,qipedc_kps/D0108B.npz,train
qipedc_D0109B,D0109B.mp4,qipedc,không quen,không quen,B,,RG01676,1280,720,qipedc_kps/D0109B.npz,train
qipedc_D0109T,D0109T.mp4,qipedc,không quen,không quen,T,,RG01676,1280,720,qipedc_kps/D0109T.npz,train
qipedc_D0111N,D0111N.mp4,qipedc,tương ớt,tương ớt,N,,RG03267,1280,720,qipedc_kps/D0111N.npz,train
qipedc_D0112,D0112.mp4,qipedc,không có,không có,Other,,RG01658,1280,720,qipedc_kps/D0112.npz,train
qipedc_D0119N,D0119N.mp4,qipedc,đúng không?,đúng không?,N,,RG03779,1280,720,qipedc_kps/D0119N.npz,train
qipedc_D0120B,D0120B.mp4,qipedc,phải không?,phải không?,B,,RG02493,1280,720,qipedc_kps/D0120B.npz,train
qipedc_D0120T,D0120T.mp4,qipedc,phải không?,phải không?,T,,RG02493,1280,720,qipedc_kps/D0120T.npz,train
qipedc_D0122N,D0122N.mp4,qipedc,cần không?,cần không?,N,,RG01011,1280,720,qipedc_kps/D0122N.npz,train
qipedc_D0122T,D0122T.mp4,qipedc,cần không?,cần không?,T,,RG01011,1280,720,qipedc_kps/D0122T.npz,train
qipedc_D0123N,D0123N.mp4,qipedc,nên không?,nên không?,N,,RG02358,1280,720,qipedc_kps/D0123N.npz,train
qipedc_D0123T,D0123T.mp4,qipedc,nên không?,nên không?,T,,RG02358,1280,720,qipedc_kps/D0123T.npz,train
qipedc_D0128N,D0128N.mp4,qipedc,đẹp không? (người),đẹp không? (người),N,,RG03848,1280,720,qipedc_kps/D0128N.npz,train
qipedc_D0129B,D0129B.mp4,qipedc,không đẹp,không đẹp,B,,RG01679,1280,720,qipedc_kps/D0129B.npz,train
qipedc_D0143B,D0143B.mp4,qipedc,"anh hai, anh cả","anh hai, anh cả",B,,RG00190,1280,720,qipedc_kps/D0143B.npz,train
qipedc_D0143T,D0143T.mp4,qipedc,"anh hai, anh cả","anh hai, anh cả",T,,RG00190,1280,720,qipedc_kps/D0143T.npz,train
qipedc_D0144B,D0144B.mp4,qipedc,"chị hai, chị cả","chị hai, chị cả",B,,RG00722,1280,720,qipedc_kps/D0144B.npz,train
qipedc_D0144T,D0144T.mp4,qipedc,"chị hai, chị cả","chị hai, chị cả",T,,RG00722,1280,720,qipedc_kps/D0144T.npz,train
qipedc_D0151N,D0151N.mp4,qipedc,ông bà,ông bà,N,,RG03629,1280,720,qipedc_kps/D0151N.npz,train
qipedc_D0152B,D0152B.mp4,qipedc,chị họ,chị họ,B,,RG00724,1280,720,qipedc_kps/D0152B.npz,train
qipedc_D0152T,D0152T.mp4,qipedc,chị họ,chị họ,T,,RG00724,1280,720,qipedc_kps/D0152T.npz,train
qipedc_D0153B,D0153B.mp4,qipedc,em họ,em họ,B,,RG01234,1280,720,qipedc_kps/D0153B.npz,train
qipedc_D0154N,D0154N.mp4,qipedc,cháu họ,cháu họ,N,,RG00610,1280,720,qipedc_kps/D0154N.npz,train
qipedc_D0155B,D0155B.mp4,qipedc,sống sót,sống sót,B,,RG02794,1280,720,qipedc_kps/D0155B.npz,train
qipedc_D0155T,D0155T.mp4,qipedc,sống sót,sống sót,T,,RG02794,1280,720,qipedc_kps/D0155T.npz,train
qipedc_D0156N,D0156N.mp4,qipedc,thường xuyên,thường xuyên,N,,RG02964,1280,720,qipedc_kps/D0156N.npz,train
qipedc_D0156T,D0156T.mp4,qipedc,thường xuyên,thường xuyên,T,,RG02964,1280,720,qipedc_kps/D0156T.npz,train
qipedc_D0157N,D0157N.mp4,qipedc,đi dạo,đi dạo,N,,RG03683,1280,720,qipedc_kps/D0157N.npz,train
qipedc_D0159B,D0159B.mp4,qipedc,về 2 (Miền Bắc),về 2,B,,RG03451,1280,720,qipedc_kps/D0159B.npz,train
qipedc_D0163B,D0163B.mp4,qipedc,hẹn,hẹn,B,,RG01539,1280,720,qipedc_kps/D0163B.npz,train
qipedc_D0165B,D0165B.mp4,qipedc,hứa,hứa,B,,RG01590,1280,720,qipedc_kps/D0165B.npz,train
qipedc_D0167,D0167.mp4,qipedc,lâu,lâu,Other,,RG01820,1280,720,qipedc_kps/D0167.npz,train
qipedc_D0168N,D0168N.mp4,qipedc,vẫn,vẫn,N,,RG03432,1280,720,qipedc_kps/D0168N.npz,train
qipedc_D0168T,D0168T.mp4,qipedc,vẫn,vẫn,T,,RG03432,1280,720,qipedc_kps/D0168T.npz,train
qipedc_D0169T,D0169T.mp4,qipedc,mỗi ngày,mỗi ngày,T,,RG02080,1280,720,qipedc_kps/D0169T.npz,train
qipedc_D0170N,D0170N.mp4,qipedc,hàng ngày,hàng ngày,N,,RG01463,1280,720,qipedc_kps/D0170N.npz,train
qipedc_D0170T,D0170T.mp4,qipedc,hàng ngày,hàng ngày,T,,RG01463,1280,720,qipedc_kps/D0170T.npz,train
qipedc_D0182B,D0182B.mp4,qipedc,cung điện,cung điện,B,,RG00864,1280,720,qipedc_kps/D0182B.npz,train
qipedc_D0182T,D0182T.mp4,qipedc,cung điện,cung điện,T,,RG00864,1280,720,qipedc_kps/D0182T.npz,train
qipedc_D0188N,D0188N.mp4,qipedc,hoặc,hoặc,N,,RG01443,1280,720,qipedc_kps/D0188N.npz,train
qipedc_D0188T,D0188T.mp4,qipedc,hoặc,hoặc,T,,RG01443,1280,720,qipedc_kps/D0188T.npz,train
qipedc_D0189B,D0189B.mp4,qipedc,muốn không?,muốn không?,B,,RG01932,1280,720,qipedc_kps/D0189B.npz,train
qipedc_D0190N,D0190N.mp4,qipedc,không muốn,không muốn,N,,RG01669,1280,720,qipedc_kps/D0190N.npz,train
qipedc_D0190T,D0190T.mp4,qipedc,không muốn,không muốn,T,,RG01669,1280,720,qipedc_kps/D0190T.npz,train
qipedc_D0192N,D0192N.mp4,qipedc,xem,xem,N,,RG03500,1280,720,qipedc_kps/D0192N.npz,train
qipedc_D0192T,D0192T.mp4,qipedc,xem,xem,T,,RG03500,1280,720,qipedc_kps/D0192T.npz,train
qipedc_D0195N,D0195N.mp4,qipedc,đẹp không?,đẹp không?,N,,RG03846,1280,720,qipedc_kps/D0195N.npz,train
qipedc_D0206B,D0206B.mp4,qipedc,thiếu thốn,thiếu thốn,B,,RG02867,1280,720,qipedc_kps/D0206B.npz,train
qipedc_D0209N,D0209N.mp4,qipedc,dám làm,dám làm,N,,RG01143,1280,720,qipedc_kps/D0209N.npz,train
qipedc_D0210N,D0210N.mp4,qipedc,không dám,không dám,N,,RG01662,1280,720,qipedc_kps/D0210N.npz,train
qipedc_D0213B,D0213B.mp4,qipedc,ung thư,ung thư,B,,RG03346,1280,720,qipedc_kps/D0213B.npz,train
qipedc_D0213T,D0213T.mp4,qipedc,ung thư,ung thư,T,,RG03346,1280,720,qipedc_kps/D0213T.npz,train
qipedc_D0214B,D0214B.mp4,qipedc,phó hiệu trưởng,phó hiệu trưởng,B,,RG02480,1280,720,qipedc_kps/D0214B.npz,train
qipedc_D0223N,D0223N.mp4,qipedc,Mã Lai (nước Ma-lai-xi-a),mã lai (nước ma lai xi a),N,,RG00113,1280,720,qipedc_kps/D0223N.npz,train
qipedc_D0242N,D0242N.mp4,qipedc,nhưng,nhưng,N,,RG02309,1280,720,qipedc_kps/D0242N.npz,train
qipedc_D0243N,D0243N.mp4,qipedc,hay là (hoặc là),hay là (hoặc là),N,,RG01405,1280,720,qipedc_kps/D0243N.npz,train
qipedc_D0243T,D0243T.mp4,qipedc,hay là (hoặc là),hay là (hoặc là),T,,RG01405,1280,720,qipedc_kps/D0243T.npz,train
qipedc_D0249N,D0249N.mp4,qipedc,chia đôi,chia đôi,N,,RG00542,1280,720,qipedc_kps/D0249N.npz,train
qipedc_D0250N,D0250N.mp4,qipedc,chia ba,chia ba,N,,RG00534,1280,720,qipedc_kps/D0250N.npz,train
qipedc_D0270N,D0270N.mp4,qipedc,lạnh lùng,lạnh lùng,N,,RG01864,1280,720,qipedc_kps/D0270N.npz,train
qipedc_D0271B,D0271B.mp4,qipedc,dỗi,dỗi,B,,RG01221,1280,720,qipedc_kps/D0271B.npz,train
qipedc_D0272N,D0272N.mp4,qipedc,liếc nhìn,liếc nhìn,N,,RG01779,1280,720,qipedc_kps/D0272N.npz,train
qipedc_D0307B,D0307B.mp4,qipedc,công nghiệp,công nghiệp,B,,RG00950,1280,720,qipedc_kps/D0307B.npz,train
qipedc_D0326B,D0326B.mp4,qipedc,vải lụa,vải lụa,B,,RG03426,1280,720,qipedc_kps/D0326B.npz,train
qipedc_D0326T,D0326T.mp4,qipedc,vải lụa,vải lụa,T,,RG03426,1280,720,qipedc_kps/D0326T.npz,train
qipedc_D0342B,D0342B.mp4,qipedc,ham chơi,ham chơi,B,,RG01402,1280,720,qipedc_kps/D0342B.npz,train
qipedc_D0342T,D0342T.mp4,qipedc,ham chơi,ham chơi,T,,RG01402,1280,720,qipedc_kps/D0342T.npz,train
qipedc_D0346N,D0346N.mp4,qipedc,da trắng,da trắng,N,,RG01105,1280,720,qipedc_kps/D0346N.npz,train
qipedc_D0346T,D0346T.mp4,qipedc,da trắng,da trắng,T,,RG01105,1280,720,qipedc_kps/D0346T.npz,train
qipedc_D0347N,D0347N.mp4,qipedc,da ngăm (nước da ngăm đen),da ngăm (nước da ngăm đen),N,,RG01103,1280,720,qipedc_kps/D0347N.npz,train
qipedc_D0347T,D0347T.mp4,qipedc,da ngăm (nước da ngăm đen),da ngăm (nước da ngăm đen),T,,RG01103,1280,720,qipedc_kps/D0347T.npz,train
qipedc_D0356,D0356.mp4,qipedc,đau bụng,đau bụng,Other,,RG03671,1280,720,qipedc_kps/D0356.npz,train
qipedc_D0388,D0388.mp4,qipedc,hải sản,hải sản,Other,,RG01532,1280,720,qipedc_kps/D0388.npz,train
qipedc_D0396B,D0396B.mp4,qipedc,nước ép trái cây,nước ép trái cây,B,,RG02387,1280,720,qipedc_kps/D0396B.npz,train
qipedc_D0410B,D0410B.mp4,qipedc,một tiếng,một tiếng,B,,RG02085,1280,720,qipedc_kps/D0410B.npz,train
qipedc_D0416B,D0416B.mp4,qipedc,tuần này,tuần này,B,,RG03184,1280,720,qipedc_kps/D0416B.npz,train
qipedc_D0417N,D0417N.mp4,qipedc,tuần sau,tuần sau,N,,RG03187,1280,720,qipedc_kps/D0417N.npz,train
qipedc_D0417T,D0417T.mp4,qipedc,tuần sau,tuần sau,T,,RG03187,1280,720,qipedc_kps/D0417T.npz,train
qipedc_D0418N,D0418N.mp4,qipedc,tuần trước,tuần trước,N,,RG03190,1280,720,qipedc_kps/D0418N.npz,train
qipedc_D0423N,D0423N.mp4,qipedc,sinh đôi,sinh đôi,N,,RG02721,1280,720,qipedc_kps/D0423N.npz,train
qipedc_D0429B,D0429B.mp4,qipedc,tóc ngắn,tóc ngắn,B,,RG03245,1280,720,qipedc_kps/D0429B.npz,train
qipedc_D0429T,D0429T.mp4,qipedc,tóc ngắn,tóc ngắn,T,,RG03245,1280,720,qipedc_kps/D0429T.npz,train
qipedc_D0430T,D0430T.mp4,qipedc,tổng kết/bế giảng,tổng kết/bế giảng,T,,RG03310,1280,720,qipedc_kps/D0430T.npz,train
qipedc_D0432N,D0432N.mp4,qipedc,tay chân sạch sẽ,tay chân sạch sẽ,N,,RG02835,1280,720,qipedc_kps/D0432N.npz,train
qipedc_D0437B,D0437B.mp4,qipedc,đùa,đùa,B,,RG03775,1280,720,qipedc_kps/D0437B.npz,train
qipedc_D0452B,D0452B.mp4,qipedc,họp nhóm,họp nhóm,B,,RG01559,1280,720,qipedc_kps/D0452B.npz,train
qipedc_D0452T,D0452T.mp4,qipedc,họp nhóm,họp nhóm,T,,RG01559,1280,720,qipedc_kps/D0452T.npz,train
qipedc_D0464N,D0464N.mp4,qipedc,trẻ con/con nít,trẻ con/con nít,N,,RG03149,1280,720,qipedc_kps/D0464N.npz,train
qipedc_D0464T,D0464T.mp4,qipedc,trẻ con/con nít,trẻ con/con nít,T,,RG03149,1280,720,qipedc_kps/D0464T.npz,train
qipedc_D0470N,D0470N.mp4,qipedc,nhà văn hóa,nhà văn hóa,N,,RG02285,1280,720,qipedc_kps/D0470N.npz,train
qipedc_D0470T,D0470T.mp4,qipedc,nhà văn hóa,nhà văn hóa,T,,RG02285,1280,720,qipedc_kps/D0470T.npz,train
qipedc_D0490N,D0490N.mp4,qipedc,ă,ă,N,,RG03643,1280,720,qipedc_kps/D0490N.npz,train
qipedc_D0490T,D0490T.mp4,qipedc,ă,ă,T,,RG03643,1280,720,qipedc_kps/D0490T.npz,train
qipedc_D0491B,D0491B.mp4,qipedc,â,â,B,,RG03607,1280,720,qipedc_kps/D0491B.npz,train
qipedc_D0497N,D0497N.mp4,qipedc,ê,ê,N,,RG03614,1280,720,qipedc_kps/D0497N.npz,train
qipedc_D0497T,D0497T.mp4,qipedc,ê,ê,T,,RG03614,1280,720,qipedc_kps/D0497T.npz,train
qipedc_D0498B,D0498B.mp4,qipedc,g,g,B,,RG01245,1280,720,qipedc_kps/D0498B.npz,train
qipedc_D0500T,D0500T.mp4,qipedc,h,h,T,,RG01399,1280,720,qipedc_kps/D0500T.npz,train
qipedc_D0507B,D0507B.mp4,qipedc,ô,ô,B,,RG03620,1280,720,qipedc_kps/D0507B.npz,train
qipedc_D0509N,D0509N.mp4,qipedc,p,p,N,,RG02424,1280,720,qipedc_kps/D0509N.npz,train
qipedc_D0509T,D0509T.mp4,qipedc,p,p,T,,RG02424,1280,720,qipedc_kps/D0509T.npz,train
qipedc_D0513N,D0513N.mp4,qipedc,t,t,N,,RG02826,1280,720,qipedc_kps/D0513N.npz,train
qipedc_D0517B,D0517B.mp4,qipedc,x,x,B,,RG03476,1280,720,qipedc_kps/D0517B.npz,train
qipedc_D0524B,D0524B.mp4,qipedc,dấu huyền,dấu huyền,B,,RG01188,1280,720,qipedc_kps/D0524B.npz,train
qipedc_D0524T,D0524T.mp4,qipedc,dấu huyền,dấu huyền,T,,RG01188,1280,720,qipedc_kps/D0524T.npz,train
qipedc_D0525B,D0525B.mp4,qipedc,dấu sắc,dấu sắc,B,,RG01198,1280,720,qipedc_kps/D0525B.npz,train
qipedc_D0525T,D0525T.mp4,qipedc,dấu sắc,dấu sắc,T,,RG01198,1280,720,qipedc_kps/D0525T.npz,train
qipedc_D0526N,D0526N.mp4,qipedc,dấu hỏi,dấu hỏi,N,,RG01191,1280,720,qipedc_kps/D0526N.npz,train
qipedc_D0526T,D0526T.mp4,qipedc,dấu hỏi,dấu hỏi,T,,RG01191,1280,720,qipedc_kps/D0526T.npz,train
qipedc_D0527B,D0527B.mp4,qipedc,dấu ngã,dấu ngã,B,,RG01193,1280,720,qipedc_kps/D0527B.npz,train
qipedc_D0530,D0530.mp4,qipedc,1,1,Other,,RG00002,1280,720,qipedc_kps/D0530.npz,train
qipedc_D0531,D0531.mp4,qipedc,2,2,Other,,RG00018,1280,720,qipedc_kps/D0531.npz,train
qipedc_D0532,D0532.mp4,qipedc,3,3,Other,,RG00023,1280,720,qipedc_kps/D0532.npz,train
qipedc_D0533,D0533.mp4,qipedc,4,4,Other,,RG00025,1280,720,qipedc_kps/D0533.npz,train
qipedc_D0534,D0534.mp4,qipedc,5,5,Other,,RG00027,1280,720,qipedc_kps/D0534.npz,train
qipedc_D0535B,D0535B.mp4,qipedc,6,6,B,,RG00031,1280,720,qipedc_kps/D0535B.npz,train
qipedc_D0538,D0538.mp4,qipedc,9,9,Other,,RG00037,1280,720,qipedc_kps/D0538.npz,train
qipedc_D0540B,D0540B.mp4,qipedc,11,11,B,,RG00014,1280,720,qipedc_kps/D0540B.npz,train
qipedc_D0541B,D0541B.mp4,qipedc,12,12,B,,RG00016,1280,720,qipedc_kps/D0541B.npz,train
qipedc_D0542B,D0542B.mp4,qipedc,23,23,B,,RG00021,1280,720,qipedc_kps/D0542B.npz,train
qipedc_D0549B,D0549B.mp4,qipedc,5000 (năm nghìn),5000 (năm nghìn),B,,RG00029,1280,720,qipedc_kps/D0549B.npz,train
qipedc_D0550T,D0550T.mp4,qipedc,10 000 (mười nghìn),10 000 (mười nghìn),T,,RG00011,1280,720,qipedc_kps/D0550T.npz,train
qipedc_D0551T,D0551T.mp4,qipedc,1 000 000 (một triệu),1 000 000 (một triệu),T,,RG00005,1280,720,qipedc_kps/D0551T.npz,train
qipedc_D0552B,D0552B.mp4,qipedc,1 000 000 000 (một tỉ),1 000 000 000 (một tỉ),B,,RG00006,1280,720,qipedc_kps/D0552B.npz,train
qipedc_D0552T,D0552T.mp4,qipedc,1 000 000 000 (một tỉ),1 000 000 000 (một tỉ),T,,RG00006,1280,720,qipedc_kps/D0552T.npz,train
qipedc_W00004N,W00004N.mp4,qipedc,ai,ai,N,,RG00180,1280,720,qipedc_kps/W00004N.npz,train
qipedc_W00004T,W00004T.mp4,qipedc,ai,ai,T,,RG00180,1280,720,qipedc_kps/W00004T.npz,train
qipedc_W00009B,W00009B.mp4,qipedc,Anh (nước Anh),anh (nước anh),B,,RG00041,1280,720,qipedc_kps/W00009B.npz,train
qipedc_W00012B,W00012B.mp4,qipedc,anh dũng,anh dũng,B,,RG00186,1280,720,qipedc_kps/W00012B.npz,train
qipedc_W00013B,W00013B.mp4,qipedc,anh em,anh em,B,,RG00188,1280,720,qipedc_kps/W00013B.npz,train
qipedc_W00018B,W00018B.mp4,qipedc,anh rể,anh rể,B,,RG00196,1280,720,qipedc_kps/W00018B.npz,train
qipedc_W00019B,W00019B.mp4,qipedc,anh ruột,anh ruột,B,,RG00194,1280,720,qipedc_kps/W00019B.npz,train
qipedc_W00024,W00024.mp4,qipedc,sáng,sáng,Other,,RG02743,1280,720,qipedc_kps/W00024.npz,train
qipedc_W00032N,W00032N.mp4,qipedc,áo đồng phục,áo đồng phục,N,,RG03604,1280,720,qipedc_kps/W00032N.npz,train
qipedc_W00032T,W00032T.mp4,qipedc,áo đồng phục,áo đồng phục,T,,RG03604,1280,720,qipedc_kps/W00032T.npz,train
qipedc_W00035B,W00035B.mp4,qipedc,áo phông,áo phông,B,,RG03600,1280,720,qipedc_kps/W00035B.npz,train
qipedc_W00057N,W00057N.mp4,qipedc,ân hận,ân hận,N,,RG03611,1280,720,qipedc_kps/W00057N.npz,train
qipedc_W00059,W00059.mp4,qipedc,ấn,ấn,Other,,RG03925,1280,720,qipedc_kps/W00059.npz,train
qipedc_W00075B,W00075B.mp4,qipedc,bài thơ,bài thơ,B,,RG00246,1280,720,qipedc_kps/W00075B.npz,train
qipedc_W00086B,W00086B.mp4,qipedc,ban đêm,ban đêm,B,,RG00204,1280,720,qipedc_kps/W00086B.npz,train
qipedc_W00099B,W00099B.mp4,qipedc,bản đồ Việt Nam,bản đồ việt nam,B,,RG00380,1280,720,qipedc_kps/W00099B.npz,train
qipedc_W00107B,W00107B.mp4,qipedc,bán hàng,bán hàng,B,,RG00257,1280,720,qipedc_kps/W00107B.npz,train
qipedc_W00110N,W00110N.mp4,qipedc,bạn,bạn,N,,RG00366,1280,720,qipedc_kps/W00110N.npz,train
qipedc_W00110T,W00110T.mp4,qipedc,bạn,bạn,T,,RG00366,1280,720,qipedc_kps/W00110T.npz,train
qipedc_W00111B,W00111B.mp4,qipedc,bạn gái,bạn gái,B,,RG00367,1280,720,qipedc_kps/W00111B.npz,train
qipedc_W00112B,W00112B.mp4,qipedc,bạn trai,bạn trai,B,,RG00369,1280,720,qipedc_kps/W00112B.npz,train
qipedc_W00119B,W00119B.mp4,qipedc,bảng cộng,bảng cộng,B,,RG00385,1280,720,qipedc_kps/W00119B.npz,train
