video_id,file_name,file_path,file_size_mb,gloss_raw,gloss_normalized,possible_region_or_dialect,possible_signer_id,num_frames,fps,width,height,fast_md5,status
11,D0009.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0009.mp4,0.362,phương Tây,phương tây,Neutral / Unspecified,unknown,99,29.97,1280,720,c7b9cb99d1d2320364f5569d00b42ea8,VALID
12,D0010.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0010.mp4,0.512,phương Đông,phương đông,Neutral / Unspecified,unknown,126,29.97,1280,720,1cb86cbdc1a0abcd5be1e9e6634ddfdd,VALID
13,D0011.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0011.mp4,0.433,Đu Bai (nước Đu Bai),đu bai (nước đu bai),Neutral / Unspecified,unknown,100,29.97,1280,720,a094cf993cdb5f4b9288b19393c357c6,VALID
14,D0012.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0012.mp4,0.638,Albania (nước Albania),albania (nước albania),Neutral / Unspecified,unknown,145,29.97,1280,720,b59fb690695f58875a9ebaf3348adea5,VALID
15,D0014.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0014.mp4,0.79,nhập khẩu,nhập khẩu,Neutral / Unspecified,unknown,137,29.97,1280,720,1fa61212f4d8c3a6d947dab12ab541f0,VALID
16,D0015.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0015.mp4,0.681,Tuy Hoà,tuy hoà,Neutral / Unspecified,unknown,139,29.97,1280,720,1d728dbf5b33fb485702736ae729c4b8,VALID
17,D0016.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0016.mp4,0.572,Quy Nhơn,quy nhơn,Neutral / Unspecified,unknown,118,29.97,1280,720,24e301ce885b72617d0009fc1abe6ecd,VALID
18,D0017.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0017.mp4,0.56,hấp dẫn,hấp dẫn,Neutral / Unspecified,unknown,115,29.97,1280,720,e7cad9510ac5d052b6d594b4ed99d7d4,VALID
19,D0018.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0018.mp4,0.807,nổi da gà,nổi da gà,Neutral / Unspecified,unknown,143,29.97,1280,720,2535dec544717cdb9e3acf047ec57832,VALID
20,D0019B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0019B.mp4,0.405,ghen tị,ghen tị,B (Miền Bắc / North),unknown,107,29.97,1280,720,f7a125cae1f9bacf4c939a3a754b9d70,VALID
21,D0019N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0019N.mp4,0.624,ghen tị,ghen tị,N (Miền Nam / South),unknown,127,29.97,1280,720,a9877c65b305a19a64e2f085456e4543,VALID
22,D0019T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0019T.mp4,0.623,ghen tị,ghen tị,T (Miền Trung / Central),unknown,127,29.97,1280,720,2d0bffccd0959eda2ec19698b731af0e,VALID
23,D0020B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0020B.mp4,0.795,lung tung,lung tung,B (Miền Bắc / North),unknown,131,29.97,1280,720,bfe22829c4f4ff601b20245448cc03b9,VALID
24,D0020N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0020N.mp4,0.396,lung tung,lung tung,N (Miền Nam / South),unknown,90,29.97,1280,720,eedf1eb8c314cca9b3b85f539ed124b9,VALID
25,D0022.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0022.mp4,0.376,cười nhếch mép,cười nhếch mép,Neutral / Unspecified,unknown,93,29.97,1280,720,64071eacb54476b001aa4422da58f20c,VALID
26,D0020T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0020T.mp4,1.689,lung tung,lung tung,T (Miền Trung / Central),unknown,257,29.97,1280,720,f5c694ea329afac2254ebbc4556a52fb,VALID
27,D0023.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0023.mp4,0.59,cười vỡ bụng,cười vỡ bụng,Neutral / Unspecified,unknown,117,29.97,1280,720,7acace2ec5db716cca0603b0df6c7978,VALID
28,D0024N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0024N.mp4,1.14,tham ăn,tham ăn,N (Miền Nam / South),unknown,183,29.97,1280,720,54c0818882801b7be6e3f84a117b1cf1,VALID
29,D0024B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0024B.mp4,0.999,tham ăn,tham ăn,B (Miền Bắc / North),unknown,174,29.97,1280,720,7d27eb43fd2d735d1c2f88fb2dda3a27,VALID
30,D0024T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0024T.mp4,1.14,tham ăn,tham ăn,T (Miền Trung / Central),unknown,183,29.97,1280,720,467af59a3a3419130ac9367618ea2457,VALID
31,D0028.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0028.mp4,0.461,đứng đầu (hàng đầu),đứng đầu (hàng đầu),Neutral / Unspecified,unknown,98,29.97,1280,720,d527c9a58bdf4c69e750c5e273647c60,VALID
32,D0029B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0029B.mp4,0.538,thói quen,thói quen,B (Miền Bắc / North),unknown,129,29.97,1280,720,5191d9cbf3f7a91385317bb62cf8c685,VALID
33,D0029N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0029N.mp4,0.533,thói quen,thói quen,N (Miền Nam / South),unknown,117,29.97,1280,720,3eea1ef13875f80b275a0d01347ae723,VALID
34,D0029T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0029T.mp4,0.491,thói quen,thói quen,T (Miền Trung / Central),unknown,117,29.97,1280,720,c43d0c2573686e0bbeb86d9552dcd7d5,VALID
35,D0030.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0030.mp4,0.882,khuyến khích,khuyến khích,Neutral / Unspecified,unknown,134,29.97,1280,720,85665983297fa2ec3eb44dd7c2b7862f,VALID
36,D0031B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0031B.mp4,0.643,không nghe lời,không nghe lời,B (Miền Bắc / North),unknown,138,29.97,1280,720,a3b0aa631f9c4a5ca2dc98de10813aa1,VALID
37,D0031N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0031N.mp4,0.418,không nghe lời,không nghe lời,N (Miền Nam / South),unknown,97,29.97,1280,720,c0e6561db8be80f1bd4fbb5928671640,VALID
38,D0031T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0031T.mp4,0.417,không nghe lời,không nghe lời,T (Miền Trung / Central),unknown,97,29.97,1280,720,e6b5f867916763d5f67f5fb22e0ee1c1,VALID
39,D0032.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0032.mp4,0.589,ai cho,ai cho,Neutral / Unspecified,unknown,114,29.97,1280,720,c45ab22492e47c9e98121bef37173447,VALID
40,D0033B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0033B.mp4,0.567,không cho,không cho,B (Miền Bắc / North),unknown,111,29.97,1280,720,b4fd52e62b9757d5a5061c65b76d9ddd,VALID
41,D0033T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0033T.mp4,0.657,không cho,không cho,T (Miền Trung / Central),unknown,125,29.97,1280,720,bf4328261fece0386071ca84b40d3d06,VALID
42,D0034.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0034.mp4,0.557,không cần,không cần,Neutral / Unspecified,unknown,104,29.97,1280,720,f4e2a0dfec9e464a840c2e9ceb66c455,VALID
43,D0033N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0033N.mp4,0.658,không cho,không cho,N (Miền Nam / South),unknown,125,29.97,1280,720,c330785ff4913e416dbcfb2586f9574b,VALID
44,D0035B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0035B.mp4,0.302,không nên,không nên,B (Miền Bắc / North),unknown,83,29.97,1280,720,96e97d3cbd0021de295f1c8299c35f81,VALID
45,D0035N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0035N.mp4,0.35,không nên,không nên,N (Miền Nam / South),unknown,95,29.97,1280,720,df554d18a13d45838dd345b9d7cc5eea,VALID
46,D0035T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0035T.mp4,0.349,không nên,không nên,T (Miền Trung / Central),unknown,87,29.97,1280,720,af06dfc9792686af0b523c3ea4320906,VALID
47,D0036.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0036.mp4,0.785,bực mình,bực mình,Neutral / Unspecified,unknown,140,29.97,1280,720,4977a510516a5c742847a2fd57b6f4e3,VALID
48,D0038.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0038.mp4,0.768,mù chữ,mù chữ,Neutral / Unspecified,unknown,144,29.97,1280,720,0caaaa58983ab097841cb39db7dbc8af,VALID
49,D0039.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0039.mp4,0.703,vô tình,vô tình,Neutral / Unspecified,unknown,139,29.97,1280,720,ff63628da0ab3dd5a85b3b523c8c5142,VALID
50,D0040B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0040B.mp4,0.714,Tết hàn thực,tết hàn thực,B (Miền Bắc / North),unknown,120,29.97,1280,720,fd801ec38ef3731b02a3f75f8d8a382e,VALID
51,D0040N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0040N.mp4,0.473,Tết hàn thực,tết hàn thực,N (Miền Nam / South),unknown,99,29.97,1280,720,676f6ee9f3a235405c09f93cf9f80e88,VALID
52,D0040T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0040T.mp4,0.658,Tết hàn thực,tết hàn thực,T (Miền Trung / Central),unknown,123,29.97,1280,720,afa0f6136bf0c034fdc330e4e8215a81,VALID
53,D0041.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0041.mp4,0.562,giỗ,giỗ,Neutral / Unspecified,unknown,97,29.97,1280,720,d738c1a31242b7e86a468ef20b0f1aca,VALID
54,D0042B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0042B.mp4,0.741,ngày Quốc tế phụ nữ 8/3,ngày quốc tế phụ nữ 8/3,B (Miền Bắc / North),unknown,139,29.97,1280,720,97f2f429e9b00f6558596fc35dc6a2cf,VALID
55,D0042N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0042N.mp4,0.73,ngày Quốc tế phụ nữ 8/3,ngày quốc tế phụ nữ 8/3,N (Miền Nam / South),unknown,131,29.97,1280,720,d9d552e79ce4e2691db09394b242c53b,VALID
56,D0042T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0042T.mp4,0.794,ngày Quốc tế phụ nữ 8/3,ngày quốc tế phụ nữ 8/3,T (Miền Trung / Central),unknown,140,29.97,1280,720,ba557ef59c34114300d2454ee5dd2521,VALID
57,D0043B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0043B.mp4,1.101,ngày giải phóng thủ đô 10/10,ngày giải phóng thủ đô 10/10,B (Miền Bắc / North),unknown,165,29.97,1280,720,e90bcff4e76a664551a85639cff73331,VALID
58,D0043T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0043T.mp4,1.056,ngày giải phóng thủ đô 10/10,ngày giải phóng thủ đô 10/10,T (Miền Trung / Central),unknown,165,29.97,1280,720,02f2fc71a898a962ba446ada9c781bcd,VALID
59,D0044B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0044B.mp4,0.702,ngày Giải phóng miền Nam 30/4,ngày giải phóng miền nam 30/4,B (Miền Bắc / North),unknown,131,29.97,1280,720,167e9c7ca3dc56c58d919cb76056b7b0,VALID
60,D0044N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0044N.mp4,0.909,ngày Giải phóng miền Nam 30/4,ngày giải phóng miền nam 30/4,N (Miền Nam / South),unknown,154,29.97,1280,720,7010bbd7bcf3ba3e8289dcbf67a629bb,VALID
61,D0045B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0045B.mp4,0.664,ngày Người khuyết tật Việt Nam 18/4,ngày người khuyết tật việt nam 18/4,B (Miền Bắc / North),unknown,119,29.97,1280,720,798ded56e83c5412781d28d14075fb89,VALID
62,D0045T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0045T.mp4,0.749,ngày Người khuyết tật Việt Nam 18/4,ngày người khuyết tật việt nam 18/4,T (Miền Trung / Central),unknown,149,29.97,1280,720,8266030ae820b5c22e6e6564971d8035,VALID
63,D0046B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0046B.mp4,1.164,ngày Người khuyết tật Thế giới 3/12,ngày người khuyết tật thế giới 3/12,B (Miền Bắc / North),unknown,187,29.97,1280,720,869a3e07321c8ea0aa7c9a80da35a727,VALID
64,D0046N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0046N.mp4,0.634,ngày Người khuyết tật Thế giới 3/12,ngày người khuyết tật thế giới 3/12,N (Miền Nam / South),unknown,124,29.97,1280,720,4111163ba5556d4beabbac7dca1a441c,VALID
65,D0046T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0046T.mp4,0.779,ngày Người khuyết tật Thế giới 3/12,ngày người khuyết tật thế giới 3/12,T (Miền Trung / Central),unknown,142,29.97,1280,720,439605672c538b1df83dc5d8de4a752e,VALID
66,D0048B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0048B.mp4,1.216,lễ Halloween 31/10,lễ halloween 31/10,B (Miền Bắc / North),unknown,191,29.97,1280,720,015f94bb3dbe989f2a5aef1fb77e0b86,VALID
67,D0048N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0048N.mp4,0.595,lễ Halloween 31/10,lễ halloween 31/10,N (Miền Nam / South),unknown,116,29.97,1280,720,625d99ec986054a81d611178e283f657,VALID
68,D0049B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0049B.mp4,0.576,ngày Phụ nữ Việt Nam 20/10,ngày phụ nữ việt nam 20/10,B (Miền Bắc / North),unknown,104,29.97,1280,720,282be4032642acdcc4877bc2e4f2cb9d,VALID
69,D0048T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0048T.mp4,1.217,lễ Halloween 31/10,lễ halloween 31/10,T (Miền Trung / Central),unknown,191,29.97,1280,720,c76cd9bcfff7c1ef4e66980323802d16,VALID
70,D0049T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0049T.mp4,0.769,ngày Phụ nữ Việt Nam 20/10,ngày phụ nữ việt nam 20/10,T (Miền Trung / Central),unknown,145,29.97,1280,720,759914c48cf895f69e671768366eb793,VALID
71,D0050B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0050B.mp4,0.646,ngày thương bình liệt sĩ 27/7,ngày thương bình liệt sĩ 27/7,B (Miền Bắc / North),unknown,126,29.97,1280,720,e8d92a206fbc6138492684b71a2b9405,VALID
72,D0050N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0050N.mp4,0.58,ngày thương bình liệt sĩ 27/7,ngày thương bình liệt sĩ 27/7,N (Miền Nam / South),unknown,114,29.97,1280,720,0523da274e15edef10ff6361f2d08d32,VALID
73,D0050T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0050T.mp4,0.61,ngày thương bình liệt sĩ 27/7,ngày thương bình liệt sĩ 27/7,T (Miền Trung / Central),unknown,126,29.97,1280,720,42d04aa55d639466a3f4572a231de025,VALID
74,D0051B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0051B.mp4,0.786,ngày giỗ tổ Hùng Vương (âm lịch 10/3),ngày giỗ tổ hùng vương (âm lịch 10/3),B (Miền Bắc / North),unknown,155,29.97,1280,720,61010fdde5f3e4cc3ed3fd5f474ea273,VALID
75,D0051N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0051N.mp4,0.77,ngày giỗ tổ Hùng Vương (âm lịch 10/3),ngày giỗ tổ hùng vương (âm lịch 10/3),N (Miền Nam / South),unknown,144,29.97,1280,720,1e21375b612c438306fea8e077e9b6b8,VALID
76,D0051T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0051T.mp4,0.787,ngày giỗ tổ Hùng Vương (âm lịch 10/3),ngày giỗ tổ hùng vương (âm lịch 10/3),T (Miền Trung / Central),unknown,155,29.97,1280,720,1ff67217b3666fd941a92cb4a1b304db,VALID
77,D0052B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0052B.mp4,0.61,ngày Ngôn ngữ kí hiệu Quốc tế 23/9,ngày ngôn ngữ kí hiệu quốc tế 23/9,B (Miền Bắc / North),unknown,107,29.97,1280,720,d744c36de61c44b43405f71c009b7bfb,VALID
78,D0053N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0053N.mp4,1.397,tuần lễ người Điếc thế giới,tuần lễ người điếc thế giới,N (Miền Nam / South),unknown,211,29.97,1280,720,72f6e9d67ec66ab8069fe2f13b655dc4,VALID
79,D0053T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0053T.mp4,1.217,tuần lễ người Điếc thế giới,tuần lễ người điếc thế giới,T (Miền Trung / Central),unknown,175,29.97,1280,720,3eaa06598d31b531b6cc88c76fa8125e,VALID
80,D0054B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0054B.mp4,0.684,ngày của Mẹ,ngày của mẹ,B (Miền Bắc / North),unknown,137,29.97,1280,720,cb792f2ae9e632baffe7696c03476435,VALID
81,D0054N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0054N.mp4,0.8,ngày của Mẹ,ngày của mẹ,N (Miền Nam / South),unknown,144,29.97,1280,720,e41ab4a61ad6d35c643e69ea86248e65,VALID
82,D0054T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0054T.mp4,0.687,ngày của Mẹ,ngày của mẹ,T (Miền Trung / Central),unknown,137,29.97,1280,720,ba3e883cbfa2db52cddc4dba6f6256da,VALID
83,D0055B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0055B.mp4,0.812,ngày của Cha,ngày của cha,B (Miền Bắc / North),unknown,149,29.97,1280,720,0ea146c520f13294e2c2ef4eacc8745e,VALID
84,D0055N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0055N.mp4,0.794,ngày của Cha,ngày của cha,N (Miền Nam / South),unknown,145,29.97,1280,720,9ad55ce84ed1fa8c4fc095a03a7b92c2,VALID
85,D0055T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0055T.mp4,0.812,ngày của Cha,ngày của cha,T (Miền Trung / Central),unknown,149,29.97,1280,720,b9f5085a60b2b2991a3400e0741231c3,VALID
86,D0056B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0056B.mp4,1.049,ngày gia đình Việt Nam 28/6,ngày gia đình việt nam 28/6,B (Miền Bắc / North),unknown,162,29.97,1280,720,3682ccdbdf0861f234530c8a2d98b93b,VALID
87,D0056N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0056N.mp4,0.893,ngày gia đình Việt Nam 28/6,ngày gia đình việt nam 28/6,N (Miền Nam / South),unknown,148,29.97,1280,720,ff29c5ea978366462a9b3f5395b79eaa,VALID
88,D0056T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0056T.mp4,1.166,ngày gia đình Việt Nam 28/6,ngày gia đình việt nam 28/6,T (Miền Trung / Central),unknown,199,29.97,1280,720,96eef6cbde524ab56360fcdf1650fe53,VALID
89,D0057B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0057B.mp4,0.83,ngày thầy thuốc Việt Nam,ngày thầy thuốc việt nam,B (Miền Bắc / North),unknown,156,29.97,1280,720,3540e341953d6400f0f9ace540be833a,VALID
90,D0057N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0057N.mp4,0.832,ngày thầy thuốc Việt Nam,ngày thầy thuốc việt nam,N (Miền Nam / South),unknown,168,29.97,1280,720,0fda5fc96b6697d9fc89032686598dd3,VALID
91,D0058B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0058B.mp4,0.704,ngày thành lập quân đội nhân dân Việt Nam,ngày thành lập quân đội nhân dân việt nam,B (Miền Bắc / North),unknown,147,29.97,1280,720,9247b808d1dc3dfddccf23fc30486b7e,VALID
92,D0058N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0058N.mp4,0.823,ngày thành lập quân đội nhân dân Việt Nam,ngày thành lập quân đội nhân dân việt nam,N (Miền Nam / South),unknown,159,29.97,1280,720,f73e4ad3708af3fa8abad220e8bd3d5d,VALID
93,D0058T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0058T.mp4,0.704,ngày thành lập quân đội nhân dân Việt Nam,ngày thành lập quân đội nhân dân việt nam,T (Miền Trung / Central),unknown,147,29.97,1280,720,61984432138928ef9d219441fb2c129e,VALID
94,D0059.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0059.mp4,0.476,con cá sấu,con cá sấu,Neutral / Unspecified,unknown,106,29.97,1280,720,8738687a95412279ebfa8047aab97910,VALID
95,D0060B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0060B.mp4,0.358,nhầm,nhầm,B (Miền Bắc / North),unknown,87,29.97,1280,720,d467faf4458644ecd40ea7fe5af6a1fd,VALID
96,D0060N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0060N.mp4,0.473,nhầm,nhầm,N (Miền Nam / South),unknown,108,29.97,1280,720,02b25f1945ad27278d25965b16d14f54,VALID
97,D0060T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0060T.mp4,0.475,nhầm,nhầm,T (Miền Trung / Central),unknown,108,29.97,1280,720,f0c5182ee96b3787e1079787a56dc319,VALID
98,D0061.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0061.mp4,0.875,đồng bằng sông Cửu Long,đồng bằng sông cửu long,Neutral / Unspecified,unknown,150,29.97,1280,720,c7e5b1f855dc5925cad16574e7be03f9,VALID
99,D0062.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0062.mp4,0.682,đồng bằng sông Hồng,đồng bằng sông hồng,Neutral / Unspecified,unknown,155,29.97,1280,720,585fdde2ff1e02c231a968828c31ef1f,VALID
