gloss,video_count,sample_videos,dialects_represented,avg_frames,avg_fps
đèn điện,3,W01155B.mp4;W01155N.mp4;W01155T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),94.0,30.0
đèo hải vân,3,W01165B.mp4;W01165N.mp4;W01165T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),85.0,30.0
luật chơi,3,W02064N.mp4;W02064T.mp4;W02064B.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),114.0,30.0
màu nâu,3,W02137N.mp4;W02137T.mp4;W02137B.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),109.7,30.0
bố dượng,3,W00326B.mp4;W00326N.mp4;W00326T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),84.7,30.0
cây cổ thụ,3,W00459B.mp4;W00459T.mp4;W00459N.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),101.0,30.0
lĩnh vực,3,W02012B.mp4;W02012N.mp4;W02012T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),106.3,30.0
ai,3,W00004B.mp4;W00004N.mp4;W00004T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),117.3,30.0
kết quả,3,W01754B.mp4;W01754N.mp4;W01754T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),120.7,30.0
cây ngô,3,W00469B.mp4;W00469N.mp4;W00469T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),121.0,30.0
khỏi bệnh,3,W01824B.mp4;W01824N.mp4;W01824T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),148.7,30.0
chặt,3,W00513B.mp4;W00513N.mp4;W00513T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),97.7,30.0
cây phượng,3,W00470B.mp4;W00470N.mp4;W00470T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),122.0,30.0
anh (nước anh),3,W00009B.mp4;W00009N.mp4;W00009T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),113.3,30.0
bốt cảnh sát,3,W00337B.mp4;W00337T.mp4;W00337N.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),178.0,30.0
bốt điện,3,W00338B.mp4;W00338N.mp4;W00338T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),150.3,30.0
anh dũng,3,W00012B.mp4;W00012N.mp4;W00012T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),132.0,30.0
anh em,3,W00013N.mp4;W00013T.mp4;W00013B.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),141.7,30.0
"anh hai, anh cả",3,D0143B.mp4;D0143N.mp4;D0143T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),70.7,30.0
màu trắng,3,W02140B.mp4;W02140N.mp4;W02140T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),86.0,30.0
đùa,3,D0437N.mp4;D0437T.mp4;D0437B.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),94.3,30.0
anh ruột,3,W00019B.mp4;W00019N.mp4;W00019T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),142.3,30.0
anh rể,3,W00018B.mp4;W00018N.mp4;W00018T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),93.0,30.0
là gì?,3,W01911B.mp4;W01911N.mp4;W01911T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),93.7,30.0
cây thân gỗ,3,W00474B.mp4;W00474N.mp4;W00474T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),102.3,30.0
đúng không?,3,D0119T.mp4;D0119B.mp4;D0119N.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),99.7,30.0
kỉ niệm,3,W01866B.mp4;W01866N.mp4;W01866T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),115.3,30.0
chị,3,W00570B.mp4;W00570N.mp4;W00570T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),112.7,30.0
đại diện,3,W01082B.mp4;W01082N.mp4;W01082T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),78.7,30.0
dịch vụ,3,W01033B.mp4;W01033N.mp4;W01033T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),101.7,30.0
ban đêm,3,W00086B.mp4;W00086N.mp4;W00086T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),145.3,30.0
bao giờ?,3,W00145B.mp4;W00145N.mp4;W00145T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),127.3,30.0
"chị hai, chị cả",3,D0144N.mp4;D0144T.mp4;D0144B.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),92.0,30.0
chị họ,3,D0152B.mp4;D0152N.mp4;D0152T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),129.7,30.0
bộ đội,3,W00328B.mp4;W00328N.mp4;W00328T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),131.7,30.0
hẹn,3,D0163N.mp4;D0163B.mp4;D0163T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),114.0,30.0
bột màu,3,W00341B.mp4;W00341N.mp4;W00341T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),127.7,30.0
đẹp không?,3,D0195B.mp4;D0195N.mp4;D0195T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),90.3,30.0
cây xanh tươi,3,W03945N.mp4;W03945T.mp4;W03945B.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),143.0,30.0
cây ăn quả,3,W00456B.mp4;W00456N.mp4;W00456T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),101.7,30.0
đẹp không? (người),3,D0128B.mp4;D0128N.mp4;D0128T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),101.7,30.0
chống đối,3,W00633B.mp4;W00633N.mp4;W00633T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),76.3,30.0
hệ thống,3,W01582B.mp4;W01582N.mp4;W01582T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),99.0,30.0
hàng ngày,3,D0170B.mp4;D0170N.mp4;D0170T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),102.3,30.0
bụi phấn,3,W00359B.mp4;W00359N.mp4;W00359T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),119.7,30.0
dỗi,3,D0271B.mp4;D0271N.mp4;D0271T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),136.3,30.0
màu xanh da trời,3,W02142B.mp4;W02142N.mp4;W02142T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),94.7,30.0
màu xanh lá cây,3,W02143B.mp4;W02143N.mp4;W02143T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),107.7,30.0
bức tranh,3,W00386B.mp4;W00386N.mp4;W00386T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),168.7,30.0
đề nghị,3,W01177B.mp4;W01177N.mp4;W01177T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),175.0,30.0
bra-xin (nước bra-xin),3,W00355N.mp4;W00355B.mp4;W00355T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),127.7,30.0
bru-nây (nước bru-nây),3,W00356B.mp4;W00356N.mp4;W00356T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),179.7,26.0
lễ halloween 31/10,3,D0048B.mp4;D0048N.mp4;D0048T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),166.0,30.0
lễ hội,3,W01978N.mp4;W01978T.mp4;W01978B.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),97.0,30.0
buông màn,3,W00374B.mp4;W00374N.mp4;W00374T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),139.7,30.0
lễ hội hóa trang,3,W01982B.mp4;W01982N.mp4;W01982T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),133.0,30.0
cô giáo,3,W00812B.mp4;W00812N.mp4;W00812T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),99.3,30.0
e thẹn,3,W01348B.mp4;W01348N.mp4;W01348T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),91.3,30.0
cam-pu-chia (nước cam-pu-chia),3,W00407B.mp4;W00407N.mp4;W00407T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),129.3,30.0
buổi sáng,3,W00368N.mp4;W00368B.mp4;W00368T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),145.3,30.0
buổi trưa,3,W00370B.mp4;W00370N.mp4;W00370T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),135.0,30.0
buổi tối,3,W00369B.mp4;W00369T.mp4;W00369N.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),135.0,30.0
buổi đêm,3,W00367B.mp4;W00367N.mp4;W00367T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),96.0,30.0
hành quân,3,W01557B.mp4;W01557N.mp4;W01557T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),201.3,30.0
lễ nô-en,3,W01979B.mp4;W01979T.mp4;W01979N.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),123.3,30.0
em họ,3,D0153T.mp4;D0153B.mp4;D0153N.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),122.0,30.0
chủ tịch,3,W00649B.mp4;W00649N.mp4;W00649T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),95.3,30.0
em rể,3,W01351B.mp4;W01351N.mp4;W01351T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),101.7,30.0
bài thơ,3,W00075B.mp4;W00075N.mp4;W00075T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),145.0,30.0
em trai,3,W01352B.mp4;W01352T.mp4;W01352N.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),104.3,30.0
lào (nước lào),3,W01945B.mp4;W01945N.mp4;W01945T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),115.3,30.0
cửa hàng,3,W00935B.mp4;W00935T.mp4;W00935N.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),108.0,30.0
công nghiệp,3,D0307B.mp4;D0307T.mp4;D0307N.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),100.3,30.0
gạo,3,W01384B.mp4;W01384N.mp4;W01384T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),109.0,30.0
địa chỉ,3,D0001N.mp4;D0001T.mp4;D0001B.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),132.0,30.0
đồng phục,3,W01294B.mp4;W01294N.mp4;W01294T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),155.0,30.0
ga tàu,3,W01364B.mp4;W01364N.mp4;W01364T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),97.7,30.0
lười,3,W02078B.mp4;W02078N.mp4;W02078T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),112.3,30.0
bán hàng,3,W00107B.mp4;W00107N.mp4;W00107T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),117.0,30.0
công viên,3,W00850B.mp4;W00850N.mp4;W00850T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),91.7,30.0
da ngăm (nước da ngăm đen),3,D0347N.mp4;D0347T.mp4;D0347B.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),104.3,30.0
chữa bài,3,W00708B.mp4;W00708N.mp4;W00708T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),115.3,30.0
da trắng,3,D0346B.mp4;D0346N.mp4;D0346T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),119.7,30.0
bánh cuốn,3,W00129N.mp4;W00129T.mp4;W00129B.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),148.3,30.0
lái tàu hỏa,3,W01920B.mp4;W01920T.mp4;W01920N.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),92.7,30.0
kinh nghiệm,3,W01898B.mp4;W01898N.mp4;W01898T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),83.3,30.0
lười học,3,W02079B.mp4;W02079N.mp4;W02079T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),128.3,30.0
họp,3,W01677B.mp4;W01677N.mp4;W01677T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),102.0,30.0
ghen tị,3,D0019B.mp4;D0019N.mp4;D0019T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),120.3,30.0
gầy (miền nam: ốm),3,W01403N.mp4;W01403T.mp4;W01403B.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),142.0,30.0
bánh mì,3,W00137B.mp4;W00137N.mp4;W00137T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),147.0,30.0
con bê,3,W00734B.mp4;W00734N.mp4;W00734T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),91.3,30.0
chia,3,W00575B.mp4;W00575N.mp4;W00575T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),88.7,30.0
chia ba,3,D0250B.mp4;D0250N.mp4;D0250T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),96.0,30.0
con bò,3,W00735T.mp4;W00735B.mp4;W00735N.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),73.7,30.0
họp nhóm,3,D0452N.mp4;D0452B.mp4;D0452T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),117.3,30.0
hỏi,3,W01672N.mp4;W01672B.mp4;W01672T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),113.0,30.0
héc-tô-gam (hg),3,W01576B.mp4;W01576N.mp4;W01576T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),108.0,30.0
con chuột,3,W00742B.mp4;W00742N.mp4;W00742T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),94.7,30.0
báo (con báo),3,W00160B.mp4;W00160N.mp4;W00160T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),131.3,30.0
héc-tô-mét (hm),3,W01577T.mp4;W01577N.mp4;W01577B.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),95.0,30.0
chia đôi,3,D0249B.mp4;D0249N.mp4;D0249T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),109.3,30.0
con chó,3,W00739B.mp4;W00739N.mp4;W00739T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),71.3,30.0
cơ hội,3,W00868B.mp4;W00868T.mp4;W00868N.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),85.3,30.0
héc-tô-mét vuông (hm2),3,W01578N.mp4;W01578T.mp4;W01578B.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),97.3,30.0
con cá,3,W00737B.mp4;W00737N.mp4;W00737T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),78.7,30.0
đợi,3,W01304B.mp4;W01304N.mp4;W01304T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),90.3,30.0
di truyền,3,W01032B.mp4;W01032N.mp4;W01032T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),86.7,30.0
miến điện (nước mi-an-ma),3,D0005B.mp4;D0005N.mp4;D0005T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),203.3,30.0
cơm bình dân,3,W00885B.mp4;W00885N.mp4;W00885T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),108.0,30.0
hỏng,3,W01675B.mp4;W01675N.mp4;W01675T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),98.0,30.0
con cọp,3,W00747B.mp4;W00747N.mp4;W00747T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),101.7,30.0
hối hận,3,W01692B.mp4;W01692N.mp4;W01692T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),107.3,30.0
mùa xuân,3,W02272N.mp4;W02272T.mp4;W02272B.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),130.7,30.0
bé trai,3,W00220N.mp4;W00220T.mp4;W00220B.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),129.0,30.0
liên bang nga (nước nga),3,W01996B.mp4;W01996N.mp4;W01996T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),102.3,30.0
cướp,3,W00943B.mp4;W00943N.mp4;W00943T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),96.0,30.0
ở ngoài,3,W02580B.mp4;W02580N.mp4;W02580T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),199.0,30.0
liên hoan,3,W01998B.mp4;W01998N.mp4;W01998T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),97.7,30.0
chiếc gối,3,W00584B.mp4;W00584N.mp4;W00584T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),116.0,30.0
ủy quyền,3,W03751B.mp4;W03751N.mp4;W03751T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),158.0,30.0
liên lạc,3,W02000B.mp4;W02000N.mp4;W02000T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),109.0,30.0
chiếu,3,W00598.mp4;W00598T.mp4;W00598B.mp4,B (Miền Bắc / North);Neutral / Unspecified;T (Miền Trung / Central),105.7,30.0
giao tiếp,3,W01453B.mp4;W01453N.mp4;W01453T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),128.3,30.0
bìa vở,3,W00255B.mp4;W00255T.mp4;W00255N.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),159.7,30.0
bình an,3,W00274B.mp4;W00274N.mp4;W00274T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),151.0,30.0
liên quan,3,W02001B.mp4;W02001N.mp4;W02001T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),120.0,30.0
gỗ,3,W01516B.mp4;W01516N.mp4;W01516T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),107.0,30.0
hồi hộp,3,W01690B.mp4;W01690N.mp4;W01690T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),86.3,30.0
kiểm tra,3,W01878N.mp4;W01878T.mp4;W01878B.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),93.7,30.0
con kiến,3,W00768B.mp4;W00768N.mp4;W00768T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),92.7,30.0
1 000 000 (một triệu),3,D0551B.mp4;D0551N.mp4;D0551T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),68.3,24.0
bình thường,3,W00286B.mp4;W00286T.mp4;W00286N.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),114.0,30.0
con lợn (con heo),3,W00770B.mp4;W00770N.mp4;W00770T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),92.0,30.0
con muỗi,3,W00773B.mp4;W00773N.mp4;W00773T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),101.7,30.0
con mèo,3,W00772B.mp4;W00772N.mp4;W00772T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),91.3,30.0
liếc nhìn,3,D0272B.mp4;D0272N.mp4;D0272T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),90.3,30.0
bít tết (bò),3,D0077T.mp4;D0077B.mp4;D0077N.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),122.7,30.0
giá trị,3,W01433B.mp4;W01433N.mp4;W01433T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),209.3,49.9
con người,3,W00777B.mp4;W00777N.mp4;W00777T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),89.7,30.0
chuyên gia,3,W00691B.mp4;W00691N.mp4;W00691T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),97.0,30.0
giá trị phần trăm,3,W01434B.mp4;W01434N.mp4;W01434T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),118.7,30.0
con ngựa,3,W00778B.mp4;W00778N.mp4;W00778T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),103.3,30.0
h,3,D0500B.mp4;D0500N.mp4;D0500T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),94.3,24.0
con nuôi,3,W00780B.mp4;W00780N.mp4;W00780T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),136.0,30.0
bón phân,3,W00304N.mp4;W00304T.mp4;W00304B.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),126.3,30.0
1 000 000 000 (một tỉ),3,D0552B.mp4;D0552N.mp4;D0552T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),84.3,24.0
